flowcell_id	lane	index	sequencing_unit_id	plate	fq1	fq2
HKY23DSX3	2		HKY23DSX3-2	M564_No_22	/home/scruz/evros_project/data/EVROS_FASTQ/4048781.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_48	/home/scruz/evros_project/data/EVROS_FASTQ/4048785.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_59_mix	/home/scruz/evros_project/data/EVROS_FASTQ/4048787.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_9_1	/home/scruz/evros_project/data/EVROS_FASTQ/4048807.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_13	/home/scruz/evros_project/data/EVROS_FASTQ/4048811.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_23	/home/scruz/evros_project/data/EVROS_FASTQ/4048813.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_36	/home/scruz/evros_project/data/EVROS_FASTQ/4048815.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_49	/home/scruz/evros_project/data/EVROS_FASTQ/4048817.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_59_b	/home/scruz/evros_project/data/EVROS_FASTQ/4048819.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_14	/home/scruz/evros_project/data/EVROS_FASTQ/4048843.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_37	/home/scruz/evros_project/data/EVROS_FASTQ/4048847.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_50_b	/home/scruz/evros_project/data/EVROS_FASTQ/4048849.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_60_b_d_l	/home/scruz/evros_project/data/EVROS_FASTQ/4048851.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_19_2	/home/scruz/evros_project/data/EVROS_FASTQ/4048873.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_15_w	/home/scruz/evros_project/data/EVROS_FASTQ/4048875.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_25	/home/scruz/evros_project/data/EVROS_FASTQ/4048877.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_50_w_p	/home/scruz/evros_project/data/EVROS_FASTQ/4048881.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_No_60_b_w_p	/home/scruz/evros_project/data/EVROS_FASTQ/4048883.FASTQ	
HKY23DSX3	2		HKY23DSX3-2	M564_Evros	/home/scruz/evros_project/data/EVROS_FASTQ/4048524.FASTQ	
